,possessionTeam,defensiveTeam,yardlineSide,passResult,offenseFormation,personnelO,personnelD,dropBackType,pff_passCoverage,pff_passCoverageType
38,DAL,TB,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",UNKNOWN,Quarters,Zone
39,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Quarters,Zone
40,DAL,TB,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Quarters,Zone
41,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Quarters,Zone
42,DAL,TB,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Quarters,Zone
43,DAL,TB,TB,S,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",SCRAMBLE,Quarters,Zone
44,DAL,TB,TB,R,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",UNKNOWN,Quarters,Zone
45,DAL,TB,TB,R,EMPTY,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",SCRAMBLE,Quarters,Zone
46,TB,DAL,UNK,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,2-Man,Man
47,TB,DAL,UNK,I,SHOTGUN,"1 RB, 0 TE, 4 WR","2 DL, 2 LB, 7 DB",TRADITIONAL,Prevent,Other
48,TB,DAL,UNK,IN,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 2 LB, 7 DB",TRADITIONAL,Prevent,Other
49,DAL,TB,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-2,Zone
50,DAL,TB,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 4 LB, 4 DB",TRADITIONAL,Cover-3,Zone
51,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Bracket,Other
52,DAL,TB,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-2,Zone
53,DAL,TB,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",UNKNOWN,Quarters,Zone
54,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-3,Zone
55,DAL,TB,TB,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",DESIGNED_ROLLOUT_RIGHT,Red Zone,Other
56,TB,DAL,TB,I,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
57,TB,DAL,TB,I,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
58,TB,DAL,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-2,Zone
59,DAL,TB,DAL,IN,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 4 LB, 3 DB",TRADITIONAL,Cover-2,Zone
60,TB,DAL,DAL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
61,TB,DAL,DAL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
62,TB,DAL,DAL,C,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-0,Man
63,DAL,TB,DAL,C,EMPTY,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",TRADITIONAL,Cover-6,Zone
64,DAL,TB,DAL,C,EMPTY,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Cover-3,Zone
65,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-6,Zone
66,DAL,TB,TB,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",DESIGNED_ROLLOUT_RIGHT,Cover-1,Man
67,DAL,TB,TB,R,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",SCRAMBLE,Cover-6,Zone
68,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-1,Man
69,TB,DAL,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
70,TB,DAL,TB,C,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
71,TB,DAL,DAL,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
72,TB,DAL,DAL,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
73,DAL,TB,DAL,I,EMPTY,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Cover-1,Man
74,DAL,TB,DAL,I,SHOTGUN,"2 RB, 0 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Quarters,Zone
75,TB,DAL,TB,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
76,TB,DAL,DAL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
77,TB,DAL,DAL,C,SHOTGUN,"1 RB, 0 TE, 4 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
78,TB,DAL,DAL,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
79,TB,DAL,DAL,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
80,DAL,TB,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-2,Zone
81,DAL,TB,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-3,Zone
82,DAL,TB,DAL,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Cover-2,Zone
83,DAL,TB,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",UNKNOWN,Cover-2,Zone
84,DAL,TB,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Quarters,Zone
85,DAL,TB,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Bracket,Other
86,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",UNKNOWN,Quarters,Zone
87,DAL,TB,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 3 LB, 5 DB",TRADITIONAL,Quarters,Zone
88,TB,DAL,TB,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
89,TB,DAL,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
90,TB,DAL,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
91,TB,DAL,TB,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
92,TB,DAL,DAL,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
93,TB,DAL,DAL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
94,TB,DAL,DAL,I,SHOTGUN,"1 RB, 0 TE, 4 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,2-Man,Man
95,TB,DAL,DAL,I,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,2-Man,Man
96,TB,DAL,DAL,I,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-0,Man
97,ATL,PHI,ATL,C,I_FORM,"2 RB, 2 TE, 1 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Cover-2,Zone
98,ATL,PHI,PHI,C,SINGLEBACK,"2 RB, 2 TE, 1 WR","4 DL, 2 LB, 5 DB",DESIGNED_ROLLOUT_RIGHT,Cover-2,Zone
99,ATL,PHI,PHI,C,EMPTY,"2 RB, 2 TE, 1 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
100,ATL,PHI,PHI,I,SINGLEBACK,"2 RB, 2 TE, 1 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
101,ATL,PHI,PHI,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
102,ATL,PHI,PHI,C,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",DESIGNED_ROLLOUT_LEFT,Cover-3,Zone
103,ATL,PHI,PHI,I,SINGLEBACK,"1 RB, 1 TE, 3 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Red Zone,Other
104,ATL,PHI,PHI,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Red Zone,Other
105,PHI,ATL,ATL,C,EMPTY,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",TRADITIONAL,Cover-1,Man
106,ATL,PHI,ATL,C,I_FORM,"2 RB, 1 TE, 2 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Cover-6,Zone
107,ATL,PHI,ATL,C,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Cover-2,Zone
108,ATL,PHI,PHI,I,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
109,ATL,PHI,PHI,R,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",SCRAMBLE,Quarters,Zone
110,ATL,PHI,PHI,C,SINGLEBACK,"1 RB, 3 TE, 1 WR","4 DL, 3 LB, 4 DB",DESIGNED_ROLLOUT_RIGHT,Cover-3,Zone
111,ATL,PHI,PHI,I,JUMBO,"2 RB, 3 TE, 0 WR","4 DL, 3 LB, 4 DB",UNKNOWN,Red Zone,Other
112,ATL,PHI,PHI,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
113,ATL,PHI,PHI,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Red Zone,Other
114,PHI,ATL,PHI,C,SHOTGUN,"1 RB, 2 TE, 2 WR","2 DL, 4 LB, 5 DB",SCRAMBLE,Cover-3,Zone
115,PHI,ATL,PHI,C,SHOTGUN,"1 RB, 2 TE, 2 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-3,Zone
116,PHI,ATL,ATL,I,SHOTGUN,"1 RB, 2 TE, 2 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-2,Zone
117,PHI,ATL,ATL,I,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",TRADITIONAL,Cover-1,Man
118,PHI,ATL,ATL,I,SHOTGUN,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",SCRAMBLE,Cover-2,Zone
119,ATL,PHI,ATL,C,I_FORM,"2 RB, 1 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
120,ATL,PHI,PHI,I,SINGLEBACK,"1 RB, 3 TE, 1 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Cover-2,Zone
121,ATL,PHI,ATL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
122,PHI,ATL,PHI,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-2,Zone
123,PHI,ATL,PHI,C,EMPTY,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",TRADITIONAL,Cover-2,Zone
124,PHI,ATL,PHI,C,EMPTY,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",SCRAMBLE,Cover-2,Zone
125,PHI,ATL,ATL,C,EMPTY,"1 RB, 3 TE, 1 WR","3 DL, 4 LB, 4 DB",TRADITIONAL,Cover-3,Zone
126,PHI,ATL,ATL,C,SHOTGUN,"2 RB, 1 TE, 2 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-2,Zone
127,PHI,ATL,UNK,I,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",SCRAMBLE,Cover-3,Zone
128,PHI,ATL,PHI,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-2,Zone
129,PHI,ATL,PHI,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-2,Zone
130,PHI,ATL,UNK,R,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",SCRAMBLE,Cover-3,Zone
131,PHI,ATL,PHI,C,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",TRADITIONAL,Cover-3,Zone
132,PHI,ATL,ATL,R,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",SCRAMBLE,Cover-2,Zone
133,PHI,ATL,ATL,R,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",SCRAMBLE,Cover-2,Zone
134,PHI,ATL,ATL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",SCRAMBLE,Cover-3,Zone
135,PHI,ATL,ATL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",TRADITIONAL,Miscellaneous,Other
136,PHI,ATL,ATL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",SCRAMBLE,Bracket,Other
137,PHI,ATL,PHI,S,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",TRADITIONAL,Cover-1,Man
138,ATL,PHI,ATL,C,SHOTGUN,"2 RB, 1 TE, 2 WR","4 DL, 3 LB, 4 DB",TRADITIONAL,Cover-6,Zone
139,ATL,PHI,ATL,I,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-6,Zone
140,PHI,ATL,PHI,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-2,Zone
141,PHI,ATL,ATL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 4 LB, 4 DB",TRADITIONAL,Cover-2,Zone
142,PHI,ATL,ATL,I,SHOTGUN,"1 RB, 1 TE, 3 WR","3 DL, 4 LB, 4 DB",TRADITIONAL,Cover-0,Man
143,ATL,PHI,ATL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",UNKNOWN,Quarters,Zone
144,ATL,PHI,ATL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
145,ATL,PHI,ATL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",UNKNOWN,Cover-6,Zone
146,ATL,PHI,ATL,C,EMPTY,"0 RB, 2 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-6,Zone
147,ATL,PHI,ATL,I,EMPTY,"2 RB, 2 TE, 1 WR","4 DL, 2 LB, 5 DB",UNKNOWN,Cover-3,Zone
148,ATL,PHI,ATL,C,EMPTY,"2 RB, 2 TE, 1 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-6,Zone
149,ATL,PHI,ATL,I,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
150,ATL,PHI,ATL,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
151,PHI,ATL,PHI,C,SHOTGUN,"1 RB, 2 TE, 2 WR","1 DL, 5 LB, 5 DB",TRADITIONAL,Cover-2,Zone
152,PHI,ATL,PHI,C,SHOTGUN,"1 RB, 2 TE, 2 WR","3 DL, 4 LB, 4 DB",TRADITIONAL,Cover-3,Zone
153,ATL,PHI,ATL,C,SHOTGUN,"2 RB, 1 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
154,ATL,PHI,ATL,C,SHOTGUN,"2 RB, 1 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
155,ATL,PHI,ATL,I,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
156,ATL,PHI,ATL,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-3,Zone
157,ATL,PHI,ATL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
158,PHI,ATL,PHI,C,SHOTGUN,"1 RB, 1 TE, 3 WR","1 DL, 5 LB, 5 DB",TRADITIONAL,Cover-2,Zone
159,ATL,PHI,ATL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
160,ATL,PHI,ATL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-6,Zone
161,ATL,PHI,ATL,I,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
162,ATL,PHI,ATL,S,EMPTY,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-2,Zone
163,PHI,ATL,ATL,R,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",UNKNOWN,Cover-2,Zone
164,ATL,PHI,ATL,I,SINGLEBACK,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",UNKNOWN,Quarters,Zone
165,ATL,PHI,ATL,C,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-6,Zone
166,ATL,PHI,ATL,S,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
167,ATL,PHI,ATL,I,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
168,ATL,PHI,ATL,S,SHOTGUN,"1 RB, 2 TE, 2 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
169,ATL,PHI,ATL,C,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Quarters,Zone
170,BUF,PIT,PIT,C,EMPTY,"0 RB, 0 TE, 5 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Quarters,Zone
171,BUF,PIT,PIT,I,SHOTGUN,"0 RB, 0 TE, 5 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-1,Man
172,PIT,BUF,PIT,I,SHOTGUN,"1 RB, 1 TE, 3 WR","4 DL, 2 LB, 5 DB",TRADITIONAL,Cover-1,Man
173,BUF,PIT,BUF,R,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",UNKNOWN,Cover-1,Man
174,BUF,PIT,BUF,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-2,Zone
175,BUF,PIT,BUF,C,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 3 LB, 6 DB",TRADITIONAL,Cover-3,Zone
176,BUF,PIT,BUF,I,EMPTY,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-2,Zone
177,BUF,PIT,BUF,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-1,Man
178,BUF,PIT,BUF,C,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",UNKNOWN,Cover-3,Zone
179,BUF,PIT,BUF,I,SHOTGUN,"1 RB, 1 TE, 3 WR","2 DL, 4 LB, 5 DB",TRADITIONAL,Cover-6,Zone
