,quarter,down,yardsToGo,yardlineNumber,preSnapHomeScore,preSnapVisitorScore,penaltyYards,prePenaltyPlayResult,playResult,absoluteYardlineNumber,defendersInBox,pff_playAction,Inj_Occured,foul_on_play,frac_quarter_elapsed
97,1,1,10,25,0,0,0.0,16,16,35.0,7.0,1,0,0,0.0
98,1,2,6,43,0,0,0.0,1,1,67.0,6.0,1,0,0,0.07999999999999996
99,1,3,5,42,0,0,0.0,11,11,68.0,6.0,0,0,0,0.12
100,1,1,10,31,0,0,0.0,0,0,79.0,7.0,1,0,0,0.14
101,1,3,7,28,0,0,0.0,12,12,82.0,6.0,0,0,0,0.18999999999999995
102,1,2,7,13,0,0,0.0,7,7,97.0,6.0,1,0,0,0.26
103,1,2,3,3,0,0,0.0,0,0,107.0,7.0,1,0,0,0.31999999999999995
104,1,3,3,3,0,0,0.0,0,0,107.0,6.0,0,0,0,0.32999999999999996
105,1,3,4,18,3,0,0.0,18,18,28.0,5.0,0,0,0,0.5700000000000001
106,1,1,10,32,3,7,0.0,3,3,42.0,7.0,1,0,0,0.61
107,1,1,10,46,3,7,0.0,7,7,56.0,6.0,1,0,0,0.69
108,1,2,9,32,3,7,0.0,0,0,78.0,6.0,0,0,0,0.8
109,1,3,9,32,3,7,0.0,8,8,78.0,6.0,0,1,0,0.81
110,1,4,1,24,3,7,0.0,1,1,86.0,8.0,1,0,0,0.83
111,1,1,2,2,3,7,-5.0,0,-5,108.0,8.0,1,0,0,0.98
112,1,1,12,12,3,7,0.0,0,0,98.0,6.0,0,0,0,0.99
113,2,3,9,9,3,7,0.0,0,0,19.0,5.0,0,0,0,0.0
114,2,1,10,17,6,7,0.0,13,13,27.0,7.0,1,0,0,0.020000000000000018
115,2,1,10,30,6,7,0.0,28,28,40.0,6.0,0,0,0,0.050000000000000044
116,2,1,10,42,6,7,0.0,0,0,68.0,6.0,0,0,0,0.07999999999999996
117,2,3,4,36,6,7,0.0,0,0,74.0,6.0,0,0,0,0.13
118,2,4,4,36,6,7,0.0,0,0,74.0,6.0,1,0,0,0.14
119,2,1,20,26,6,7,0.0,9,9,84.0,7.0,1,0,0,0.17000000000000004
120,2,2,7,49,6,7,-14.0,0,-14,59.0,7.0,1,0,1,0.33999999999999997
121,2,3,21,37,6,7,0.0,9,9,73.0,4.0,0,0,0,0.35
122,2,2,4,25,6,7,0.0,8,8,35.0,6.0,0,0,0,0.43999999999999995
123,2,1,10,33,6,7,0.0,4,4,43.0,4.0,0,0,0,0.49
124,2,2,6,37,6,7,0.0,19,19,47.0,4.0,0,0,0,0.51
125,2,1,10,44,6,7,0.0,3,3,66.0,4.0,0,0,0,0.55
126,2,1,20,42,6,7,0.0,-3,-3,68.0,6.0,0,0,0,0.63
127,2,2,28,50,6,7,0.0,0,0,60.0,6.0,0,0,0,0.69
128,2,1,10,38,6,7,0.0,9,9,48.0,6.0,0,0,0,0.88
129,2,2,1,47,6,7,0.0,0,0,57.0,7.0,0,0,0,0.89
130,2,1,10,50,6,7,0.0,4,4,60.0,5.0,0,0,0,0.92
131,2,2,11,49,6,7,0.0,6,6,59.0,6.0,0,0,0,0.92
132,2,3,5,45,6,7,0.0,11,11,65.0,7.0,0,0,0,0.9299999999999999
133,2,2,6,30,6,7,0.0,9,9,80.0,6.0,0,0,0,0.95
134,2,1,15,26,6,7,0.0,10,10,84.0,6.0,0,0,0,0.96
135,2,3,5,16,6,7,0.0,12,12,94.0,6.0,0,0,0,0.98
136,2,1,9,9,6,7,0.0,9,9,101.0,6.0,0,0,0,0.99
137,3,3,5,48,6,15,0.0,-3,-3,62.0,7.0,0,0,0,0.08999999999999997
138,3,1,10,14,6,15,0.0,5,5,24.0,6.0,0,0,0,0.16000000000000003
139,3,3,6,18,6,15,0.0,0,0,28.0,6.0,0,0,0,0.24
140,3,1,10,31,6,15,0.0,-1,-1,79.0,6.0,1,0,0,0.26
141,3,2,7,25,6,15,0.0,5,5,35.0,7.0,0,0,0,0.49
142,3,3,2,20,6,15,0.0,0,0,30.0,6.0,0,0,0,0.53
143,3,1,10,19,6,15,-10.0,11,-10,29.0,6.0,0,0,1,0.54
144,3,1,20,9,6,15,0.0,18,18,19.0,7.0,0,0,0,0.56
145,3,3,5,24,6,15,-10.0,21,-10,34.0,6.0,0,0,1,0.64
146,3,3,15,14,6,15,0.0,5,5,24.0,4.0,0,0,0,0.65
147,3,2,10,25,6,22,3.0,0,3,35.0,5.0,0,0,1,0.95
148,3,1,10,28,6,22,0.0,12,12,38.0,5.0,0,0,0,0.95
149,4,2,11,39,6,22,0.0,0,0,71.0,6.0,0,0,0,0.0
150,4,3,11,39,6,22,0.0,0,0,71.0,6.0,0,0,0,0.0
151,4,3,9,19,6,22,0.0,19,19,29.0,6.0,0,0,0,0.10999999999999999
152,4,2,10,38,6,22,0.0,9,9,48.0,7.0,0,0,0,0.15000000000000002
153,4,1,10,8,6,22,0.0,6,6,102.0,6.0,0,0,0,0.22999999999999998
154,4,2,4,14,6,22,0.0,9,9,96.0,6.0,0,0,0,0.27
155,4,1,10,23,6,22,0.0,0,0,87.0,6.0,1,0,0,0.30000000000000004
156,4,2,10,23,6,22,0.0,0,0,87.0,6.0,0,0,0,0.31000000000000005
157,4,3,10,23,6,22,0.0,7,7,87.0,6.0,0,0,0,0.31999999999999995
158,4,3,8,22,6,22,0.0,0,0,32.0,7.0,0,0,0,0.48
159,4,1,10,18,6,22,0.0,6,6,92.0,6.0,0,0,0,0.53
160,4,2,4,24,6,22,0.0,8,8,86.0,6.0,0,0,0,0.54
161,4,1,10,32,6,22,-10.0,0,-10,78.0,5.0,0,0,1,0.56
162,4,4,10,32,6,22,0.0,-10,-10,78.0,4.0,0,0,0,0.62
163,4,1,10,22,6,22,-10.0,11,-10,88.0,7.0,0,0,1,0.62
164,4,1,10,25,6,29,19.0,0,19,85.0,6.0,1,0,1,0.71
165,4,1,10,44,6,29,0.0,5,5,66.0,5.0,0,0,0,0.72
166,4,2,5,49,6,29,0.0,-8,-8,61.0,4.0,0,0,0,0.74
167,4,3,13,41,6,29,0.0,0,0,69.0,4.0,0,0,0,0.77
168,4,4,13,41,6,29,0.0,-10,-10,69.0,4.0,0,0,0,0.78
169,4,3,17,25,6,22,0.0,7,7,85.0,4.0,0,0,0,0.5900000000000001
170,1,1,10,24,0,0,0.0,7,7,34.0,6.0,0,0,0,0.010000000000000009
171,1,3,5,19,0,0,0.0,0,0,29.0,4.0,0,0,0,0.08999999999999997
172,1,3,4,47,3,0,0.0,0,0,57.0,6.0,0,0,0,0.28
173,1,1,10,22,3,0,-10.0,13,-10,88.0,4.0,0,0,1,0.37
174,1,2,14,18,3,0,0.0,5,5,92.0,6.0,1,0,0,0.43999999999999995
175,1,3,9,23,3,0,0.0,10,10,87.0,5.0,0,0,0,0.48
176,1,1,10,33,3,0,0.0,0,0,77.0,5.0,0,0,0,0.53
177,1,2,10,33,3,0,0.0,16,16,77.0,5.0,1,0,0,0.53
178,1,1,10,49,3,0,-10.0,10,-10,61.0,4.0,0,0,1,0.56
179,1,2,14,45,3,0,0.0,0,0,65.0,6.0,0,0,0,0.64
180,1,3,14,45,3,0,0.0,0,0,65.0,6.0,0,0,1,0.64
181,1,1,10,20,3,0,0.0,6,6,30.0,6.0,0,0,0,0.6599999999999999
182,1,3,4,26,3,0,-12.0,-1,-1,36.0,5.0,0,0,1,0.7
183,1,1,10,37,3,0,0.0,0,0,73.0,6.0,0,0,0,0.74
184,1,1,10,13,3,0,0.0,6,6,23.0,7.0,1,0,0,0.8200000000000001
185,1,3,2,21,3,0,0.0,12,12,31.0,6.0,0,1,0,0.92
186,2,3,5,38,3,0,0.0,0,0,72.0,5.0,0,0,0,0.050000000000000044
187,2,2,9,24,3,0,0.0,13,13,34.0,5.0,0,0,0,0.09999999999999998
188,2,1,10,37,3,0,0.0,4,4,47.0,6.0,0,0,0,0.12
189,2,1,10,50,3,0,0.0,7,7,60.0,5.0,0,0,0,0.19999999999999996
190,2,2,3,43,3,0,0.0,0,0,67.0,6.0,1,0,0,0.25
191,2,1,10,7,3,0,0.0,0,0,103.0,6.0,0,0,0,0.27
192,2,3,12,5,3,0,0.0,0,0,105.0,5.0,0,0,0,0.35
193,2,2,13,38,3,0,0.0,0,0,72.0,5.0,0,0,0,0.41000000000000003
194,2,3,13,38,3,0,0.0,-5,-7,72.0,4.0,0,0,0,0.41000000000000003
195,2,1,10,45,3,0,0.0,10,10,65.0,6.0,1,0,0,0.42000000000000004
196,2,1,10,45,3,0,0.0,-10,-10,55.0,7.0,1,0,0,0.47
197,2,3,20,45,3,0,0.0,0,0,65.0,4.0,0,0,0,0.5800000000000001
198,2,2,9,10,3,0,0.0,12,12,20.0,5.0,0,0,0,0.64
199,2,1,10,22,3,0,-10.0,0,-10,32.0,6.0,0,0,1,0.6799999999999999
200,2,1,20,12,3,0,0.0,10,10,22.0,6.0,1,0,0,0.69
201,2,2,10,22,3,0,0.0,5,5,32.0,6.0,0,0,0,0.73
202,2,3,5,27,3,0,0.0,37,37,37.0,6.0,0,0,0,0.75
203,2,2,7,33,3,0,5.0,5,5,77.0,6.0,0,0,1,0.83
204,2,2,2,28,3,0,0.0,10,10,82.0,6.0,0,0,0,0.85
205,2,2,9,17,3,0,0.0,8,8,93.0,6.0,0,0,0,0.91
206,2,1,6,6,3,0,0.0,0,0,104.0,5.0,0,0,0,0.96
207,2,3,3,3,3,0,0.0,3,3,107.0,7.0,0,0,0,0.97
208,3,1,10,36,10,0,5.0,0,0,46.0,6.0,0,0,1,0.06999999999999995
209,3,3,4,47,10,0,0.0,19,19,57.0,6.0,0,0,0,0.13
210,3,3,4,6,10,0,0.0,0,0,104.0,6.0,0,0,0,0.30000000000000004
211,3,1,10,25,10,3,0.0,7,7,85.0,4.0,0,0,0,0.31000000000000005
212,3,2,3,32,10,3,0.0,0,0,78.0,4.0,0,0,0,0.33999999999999997
213,3,3,3,32,10,3,0.0,9,9,78.0,5.0,0,0,0,0.35
214,3,1,10,41,10,3,0.0,9,9,69.0,5.0,0,0,0,0.38
215,3,1,10,47,10,3,0.0,0,0,57.0,5.0,0,0,0,0.45999999999999996
216,3,1,10,37,10,3,0.0,0,0,47.0,6.0,0,0,0,0.55
217,3,3,8,35,10,3,0.0,0,0,45.0,5.0,1,0,0,0.6
218,3,4,8,35,10,3,0.0,0,0,45.0,5.0,0,0,0,0.61
219,3,1,10,36,10,3,0.0,0,0,46.0,6.0,0,0,0,0.61
220,3,1,10,47,10,3,0.0,0,0,57.0,7.0,0,0,0,0.71
221,3,2,10,47,10,3,0.0,24,24,57.0,6.0,0,0,0,0.72
222,3,2,6,6,10,3,0.0,0,0,104.0,6.0,0,0,0,0.83
223,3,3,6,6,10,3,0.0,4,4,104.0,7.0,0,0,0,0.84
224,3,1,10,25,10,6,0.0,12,12,85.0,5.0,0,0,0,0.88
225,3,1,10,37,10,6,0.0,0,0,73.0,5.0,0,0,0,0.92
226,3,3,8,39,10,6,0.0,11,11,71.0,5.0,0,0,0,0.97
227,3,1,10,50,10,6,0.0,0,0,60.0,6.0,0,0,0,1.0
228,4,2,10,50,10,6,0.0,7,7,60.0,5.0,0,0,0,0.0
229,4,3,7,49,10,6,26.0,0,26,59.0,6.0,0,0,1,0.18000000000000005
230,4,1,5,5,10,6,0.0,5,5,15.0,7.0,0,0,0,0.24
231,4,2,6,29,10,13,0.0,0,0,39.0,4.0,0,0,0,0.29000000000000004
232,4,3,6,29,10,13,0.0,-6,-6,39.0,5.0,0,0,0,0.30000000000000004
233,4,1,10,26,10,20,0.0,6,6,36.0,6.0,0,0,0,0.36
234,4,3,5,5,10,20,0.0,-2,-2,105.0,6.0,0,0,0,0.5900000000000001
235,4,1,10,25,13,20,5.0,0,5,85.0,7.0,1,0,1,0.64
236,4,2,7,33,13,20,0.0,24,24,77.0,7.0,1,0,0,0.6799999999999999
237,4,1,16,49,13,20,0.0,8,8,59.0,6.0,0,0,0,0.74
238,4,3,8,41,13,20,0.0,14,14,51.0,6.0,0,0,0,0.79
239,4,2,11,28,13,20,0.0,0,0,38.0,6.0,0,0,0,0.8
240,4,1,10,36,13,23,0.0,0,0,46.0,4.0,0,0,0,0.83
241,4,2,10,36,13,23,0.0,0,0,46.0,4.0,0,0,0,0.83
242,4,3,10,36,13,23,0.0,0,0,46.0,4.0,0,0,0,0.84
243,4,4,10,36,13,23,0.0,14,14,46.0,5.0,0,0,0,0.85
244,4,1,10,50,13,23,0.0,13,13,60.0,4.0,0,0,0,0.87
245,4,1,10,37,13,23,0.0,-5,-5,73.0,4.0,0,0,1,0.87
246,4,2,20,47,13,23,0.0,10,10,63.0,4.0,0,0,0,0.88
247,4,3,10,37,13,23,0.0,13,13,73.0,5.0,0,0,0,0.9
248,4,1,10,24,13,23,0.0,5,5,86.0,5.0,0,0,0,0.91
249,4,2,5,19,13,23,5.0,0,5,91.0,3.0,0,0,1,0.9299999999999999
250,4,1,10,14,13,23,-10.0,0,-10,96.0,3.0,0,0,1,0.94
251,1,2,8,27,0,0,0.0,7,7,37.0,7.0,0,0,0,0.040000000000000036
252,1,2,14,31,0,0,0.0,-9,-9,41.0,7.0,0,0,0,0.18000000000000005
253,1,3,5,42,0,0,0.0,0,0,68.0,6.0,0,0,0,0.38
254,1,2,8,24,0,0,0.0,0,0,34.0,6.0,1,0,0,0.44999999999999996
255,1,3,8,24,0,0,0.0,0,0,34.0,5.0,0,0,0,0.45999999999999996
256,1,1,10,50,0,0,0.0,13,13,60.0,7.0,0,0,0,0.49
257,1,2,15,42,0,0,0.0,8,8,52.0,7.0,0,0,0,0.5800000000000001
258,1,3,7,34,0,0,0.0,1,1,44.0,5.0,0,0,0,0.63
259,1,2,10,25,0,0,0.0,0,0,35.0,7.0,0,0,0,0.89
260,1,3,10,25,0,0,0.0,0,0,35.0,7.0,0,0,0,0.9
261,1,2,6,19,0,0,0.0,0,0,91.0,8.0,1,0,0,0.96
262,1,3,6,19,0,0,0.0,9,9,91.0,5.0,0,0,0,0.96
263,2,2,9,29,0,0,0.0,26,26,39.0,6.0,0,0,0,0.040000000000000036
264,2,2,5,40,0,0,0.0,27,27,70.0,7.0,0,0,0,0.14
265,2,1,10,13,0,0,0.0,0,0,97.0,7.0,0,0,0,0.17000000000000004
266,2,2,8,11,0,0,0.0,35,35,99.0,8.0,0,0,0,0.28
267,2,1,10,49,0,0,0.0,0,0,59.0,8.0,1,0,0,0.35
268,2,2,10,49,0,0,0.0,0,0,59.0,7.0,0,0,0,0.36
269,2,1,10,32,0,0,0.0,15,15,78.0,7.0,1,0,0,0.37
270,2,2,3,3,0,0,0.0,0,0,107.0,9.0,1,0,0,0.49
271,2,3,3,3,0,0,0.0,0,0,107.0,6.0,0,0,0,0.5
272,2,1,10,25,3,0,0.0,0,0,85.0,7.0,0,0,0,0.5
273,2,2,10,25,3,0,0.0,10,10,85.0,7.0,0,0,0,0.51
274,2,1,10,35,3,0,0.0,14,14,75.0,7.0,0,0,0,0.56
275,2,2,11,48,3,0,0.0,10,10,62.0,6.0,0,0,0,0.6599999999999999
276,2,3,1,42,3,0,0.0,0,0,52.0,8.0,1,0,0,0.71
277,2,1,10,43,3,0,0.0,57,57,53.0,6.0,1,0,0,0.72
278,2,1,10,25,9,0,0.0,0,0,85.0,6.0,1,0,0,0.73
279,2,2,10,25,9,0,0.0,8,8,85.0,7.0,0,0,0,0.73
280,2,3,2,33,9,0,0.0,-11,-11,77.0,6.0,0,0,0,0.78
281,2,2,9,39,9,0,0.0,14,14,49.0,5.0,0,0,0,0.87
282,2,1,10,47,9,0,0.0,4,4,63.0,5.0,0,0,0,0.91
283,2,2,6,43,9,0,0.0,5,5,67.0,5.0,0,0,0,0.91
284,2,3,1,38,9,0,0.0,11,11,72.0,5.0,0,0,0,0.92
285,2,1,10,27,9,0,0.0,22,22,83.0,4.0,0,0,0,0.95
286,3,1,10,21,16,0,0.0,0,0,89.0,8.0,1,0,0,0.010000000000000009
287,3,3,2,29,16,0,0.0,-9,-9,81.0,7.0,0,0,0,0.050000000000000044
288,3,2,9,42,16,0,0.0,0,0,52.0,7.0,0,0,0,0.15000000000000002
289,3,3,9,42,16,0,8.0,0,8,52.0,7.0,0,0,1,0.15000000000000002
290,3,2,13,47,16,0,0.0,0,0,57.0,8.0,0,0,0,0.20999999999999996
291,3,3,13,47,16,0,0.0,0,0,57.0,6.0,0,0,0,0.20999999999999996
292,3,2,6,20,16,0,0.0,17,17,90.0,7.0,1,0,0,0.26
293,3,1,10,37,16,0,0.0,1,1,73.0,7.0,1,0,0,0.30000000000000004
294,3,2,9,38,16,0,0.0,0,0,72.0,7.0,0,0,0,0.35
295,3,3,9,38,16,0,0.0,0,0,72.0,7.0,0,0,0,0.36
296,3,1,10,27,16,0,0.0,-10,-10,37.0,6.0,1,0,0,0.37
297,3,3,19,18,16,0,0.0,11,11,28.0,4.0,0,0,0,0.48
298,3,2,7,29,16,0,0.0,0,0,81.0,6.0,0,0,0,0.5700000000000001
299,3,3,7,29,16,0,0.0,0,0,81.0,6.0,0,0,1,0.5800000000000001
300,3,2,9,31,16,0,0.0,20,20,41.0,7.0,1,0,0,0.63
301,3,1,10,49,16,0,0.0,7,7,61.0,7.0,0,0,0,0.6799999999999999
302,3,3,2,41,16,0,0.0,8,8,69.0,9.0,1,0,0,0.76
303,3,1,10,22,16,0,0.0,22,22,88.0,6.0,0,1,0,0.89
304,4,3,6,41,16,8,0.0,7,7,51.0,6.0,0,0,0,0.0
305,4,1,10,37,19,8,0.0,0,0,73.0,7.0,0,0,0,0.45999999999999996
306,4,2,10,37,19,8,0.0,0,0,73.0,6.0,0,0,0,0.47
307,4,3,10,37,19,8,0.0,-10,-10,73.0,6.0,0,0,0,0.47
308,4,1,10,39,19,8,0.0,0,0,71.0,8.0,1,0,0,0.5800000000000001
309,4,2,10,39,19,8,0.0,3,3,71.0,6.0,0,0,0,0.5900000000000001
310,4,3,7,36,19,8,0.0,-2,-2,74.0,6.0,0,0,0,0.64
311,4,1,10,7,19,8,0.0,6,6,103.0,6.0,0,0,0,0.7
312,4,2,4,13,19,8,-5.0,22,-5,97.0,6.0,0,0,1,0.71
313,4,2,9,8,19,8,0.0,15,15,102.0,7.0,0,0,0,0.71
314,4,1,10,23,19,8,0.0,2,2,87.0,6.0,0,0,0,0.74
315,4,2,8,25,19,8,0.0,0,0,85.0,6.0,0,0,0,0.77
316,4,3,8,25,19,8,0.0,0,0,85.0,5.0,0,0,0,0.77
317,4,4,8,25,19,8,0.0,25,25,85.0,6.0,0,0,0,0.78
318,4,1,10,50,19,8,0.0,40,40,60.0,6.0,0,1,0,0.8
319,4,1,10,10,19,8,0.0,-10,-10,20.0,4.0,0,0,0,0.81
320,4,2,20,20,19,8,0.0,12,12,30.0,4.0,0,0,0,0.86
321,4,3,8,8,19,8,0.0,8,8,18.0,6.0,0,0,0,0.87
322,4,0,0,2,19,14,0.0,0,0,12.0,8.0,0,0,0,0.87
323,1,2,11,24,0,0,0.0,6,6,34.0,7.0,0,0,0,0.06000000000000005
324,1,3,5,30,0,0,0.0,12,12,40.0,5.0,0,0,0,0.09999999999999998
325,1,2,14,38,0,0,-10.0,4,-10,48.0,7.0,0,0,1,0.18000000000000005
326,1,2,24,28,0,0,0.0,0,0,38.0,6.0,0,0,0,0.20999999999999996
327,1,3,24,28,0,0,0.0,11,11,38.0,5.0,0,0,0,0.21999999999999997
328,1,2,12,38,0,0,0.0,0,0,72.0,7.0,0,0,0,0.39
329,1,3,6,24,0,0,0.0,0,0,34.0,7.0,0,0,0,0.52
